Site,Charoen Pokphand Madiun
Periode,2026-04-14 s/d 2026-04-27

tanggal,inverter_name,string_number,daily_energy_kwh,daily_ghi_kwh_m2,pr_ghi_pct,pr_poa_pct,string_dc_kw_stc
2026-04-15,CPMAD-INV-07.,10,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-07.,11,35.3929,6.040252,48.029,52.170,12.2000
2026-04-15,CPMAD-INV-07.,12,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-07.,13,35.4684,6.040252,48.131,52.281,12.2000
2026-04-15,CPMAD-INV-07.,14,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-07.,15,35.7328,6.040252,48.490,52.671,12.2000
2026-04-15,CPMAD-INV-07.,16,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-07.,17,35.2234,6.040252,47.799,51.920,12.2000
2026-04-15,CPMAD-INV-07.,18,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-07.,19,34.6662,6.040252,47.043,51.099,12.2000
2026-04-15,CPMAD-INV-07.,20,0.0000,6.040252,,0.000,
