source;site_id;site_name;inverter_no;inverter_sn;inverter_id;inverter_name;inverter_ac_capacity_kw;inverter_model;inverter_manufacturer;inverter_dc_capacity_kw;mppt_count;is_active;valid_from;valid_to;notes
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;17;1763661_1_31_1;1763661_1_31_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;18;1763661_1_32_1;1763661_1_32_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;19;1763661_1_33_1;1763661_1_33_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;20;1763661_1_34_1;1763661_1_34_1;;;;;;;True;;;
dim_assets_auto;1789614;PLTS Rooftop Weiss Tech;1;1789614_1_1_1;1789614_1_1_1;;;;;;;True;;;
dim_assets_auto;1789614;PLTS Rooftop Weiss Tech;2;1789614_1_2_1;1789614_1_2_1;;;;;;;True;;;
dim_assets_auto;1789614;PLTS Rooftop Weiss Tech;3;1789614_1_3_1;1789614_1_3_1;;;;;;;True;;;
dim_assets_auto;1789614;PLTS Rooftop Weiss Tech;4;1789614_1_4_1;1789614_1_4_1;;;;;;;True;;;
dim_assets_auto;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;1;6T2479000655;6T2479000655;;;;;;;True;;;
FusionSolar;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;1;6T2279046110;6T2279046110;;;;;;;True;;;
dim_assets_auto;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;2;6T2279046295;6T2279046295;;;;;;;True;;;
FusionSolar;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;2;6T2279046295;6T2279046295;;;;;;;True;;;
dim_assets_auto;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;3;6T2279046167;6T2279046167;;;;;;;True;;;
FusionSolar;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;3;6T2279046167;6T2279046167;;;;;;;True;;;
dim_assets_auto;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;4;6T2279046169;6T2279046169;;;;;;;True;;;
FusionSolar;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;4;6T2279046169;6T2279046169;;;;;;;True;;;
dim_assets_auto;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;5;6T2279046294;6T2279046294;;;;;;;True;;;
FusionSolar;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;5;6T2279046294;6T2279046294;;;;;;;True;;;
dim_assets_auto;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;6;6T2279046115;6T2279046115;;;;;;;True;;;
FusionSolar;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;6;6T2279046115;6T2279046115;;;;;;;True;;;
dim_assets_auto;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;7;6T2479006915;6T2479006915;;;;;;;True;;;
FusionSolar;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;7;6T2279046210;6T2279046210;;;;;;;True;;;
dim_assets_auto;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;8;6T2279046136;6T2279046136;;;;;;;True;;;
FusionSolar;NE=50488260;PT. MMKI 1.75 MWp - Painting Building;8;6T2279046136;6T2279046136;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;1;ES23C0062801;ES23C0062801;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;1;ES23C0062801;ES23C0062801;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;2;ES23C0062722;ES23C0062722;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;2;ES23C0062722;ES23C0062722;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;3;ES23C0062727;ES23C0062727;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;3;ES23C0062727;ES23C0062727;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;4;ES23C0010500;ES23C0010500;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;4;ES23C0010500;ES23C0010500;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;5;ES23B0070181;ES23B0070181;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;5;ES23B0070181;ES23B0070181;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;6;ES23C0062729;ES23C0062729;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;6;ES23C0062729;ES23C0062729;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;7;ES23C0063686;ES23C0063686;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;7;ES23C0063686;ES23C0063686;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;8;ES23B0069171;ES23B0069171;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;8;ES23B0069171;ES23B0069171;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;9;ES23B0069145;ES23B0069145;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;9;ES23B0069145;ES23B0069145;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;10;ES23C0063684;ES23C0063684;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;10;ES23C0063684;ES23C0063684;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;11;ES23C0063679;ES23C0063679;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;11;ES23C0063679;ES23C0063679;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;12;ES23C0063695;ES23C0063695;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;12;ES23C0063695;ES23C0063695;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;13;ES23C0063719;ES23C0063719;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;13;ES23C0063719;ES23C0063719;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;14;ES23C0063687;ES23C0063687;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;14;ES23C0063687;ES23C0063687;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;15;ES23B0074223;ES23B0074223;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;15;ES23B0074223;ES23B0074223;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;16;ES23C0063664;ES23C0063664;;;;;;;True;;;
