Site_Name;Site_Code;Week;Month;Date;GHI;POA;Energy Simulation (MW);Energy Target (MW);Daily PR POA Simulation;Daily PR POA Target;GHI vs POA;Daily PR GHI Simulation;Daily PR GHI Target
Garuda Metalindo 1;1458125;W3;June;10/06/2025;5.78;5.64;3.127489899;3.127489899;0.793133785;0.793133785;0.14;0.773922932;0.773922932
Garuda Metalindo 1;1458125;W3;June;11/06/2025;5;4.87;2.754742424;2.754742424;0.809061759;0.809061759;0.13;0.788026153;0.788026153
Garuda Metalindo 1;1458125;W3;June;12/06/2025;4.65;4.54;2.610991919;2.610991919;0.82258221;0.82258221;0.11;0.803123276;0.803123276
Garuda Metalindo 1;1458125;W3;June;13/06/2025;2.63;2.56;1.464463636;1.464463636;0.81821656;0.81821656;0.07;0.796438933;0.796438933
Garuda Metalindo 1;1458125;W3;June;14/06/2025;4.48;4.36;2.507585859;2.507585859;0.822619425;0.822619425;0.12;0.800584976;0.800584976
Garuda Metalindo 1;1458125;W3;June;15/06/2025;3.99;3.89;2.241948485;2.241948485;0.824338656;0.824338656;0.1;0.803678539;0.803678539
Garuda Metalindo 1;1458125;W4;June;16/06/2025;5.47;5.34;2.980941414;2.980941414;0.798439146;0.798439146;0.13;0.779463445;0.779463445
Garuda Metalindo 1;1458125;W4;June;17/06/2025;4.86;4.73;2.665052525;2.665052525;0.805887223;0.805887223;0.13;0.784330569;0.784330569
Garuda Metalindo 1;1458125;W4;June;18/06/2025;5.09;4.96;2.806813131;2.806813131;0.809396759;0.809396759;0.13;0.788724543;0.788724543
Garuda Metalindo 1;1458125;W4;June;19/06/2025;5.22;5.1;2.850949495;2.850949495;0.799556182;0.799556182;0.12;0.78117558;0.78117558
Garuda Metalindo 1;1458125;W4;June;20/06/2025;5.28;5.15;2.882016162;2.882016162;0.800421639;0.800421639;0.13;0.780714288;0.780714288
Garuda Metalindo 1;1458125;W4;June;21/06/2025;5.32;5.19;2.908715152;2.908715152;0.80161064;0.80161064;0.13;0.782022411;0.782022411
Garuda Metalindo 1;1458125;W4;June;22/06/2025;3.91;3.81;2.177907071;2.177907071;0.817605882;0.817605882;0.1;0.796695246;0.796695246
Garuda Metalindo 1;1458125;W5;June;23/06/2025;3.33;3.23;1.861443434;1.861443434;0.824284169;0.824284169;0.1;0.799530891;0.799530891
Garuda Metalindo 1;1458125;W5;June;24/06/2025;4.66;4.54;2.594435354;2.594435354;0.817366133;0.817366133;0.12;0.796318078;0.796318078
Garuda Metalindo 1;1458125;W5;June;25/06/2025;5.47;5.34;2.979372727;2.979372727;0.798018977;0.798018977;0.13;0.779053261;0.779053261
Garuda Metalindo 1;1458125;W5;June;26/06/2025;5.26;5.13;2.887176768;2.887176768;0.804981032;0.804981032;0.13;0.785086064;0.785086064
Garuda Metalindo 1;1458125;W5;June;27/06/2025;4.81;4.7;2.674435354;2.674435354;0.813886575;0.813886575;0.11;0.795273784;0.795273784
